kodekec,kodekab
320101,3201
320102,3201
320103,3201
320104,3201
320105,3201
320106,3201
320107,3201
320108,3201
320109,3201
320110,3201
320111,3201
320112,3201
320113,3201
320114,3201
320115,3201
320116,3201
320117,3201
320118,3201
320119,3201
320120,3201
320121,3201
320122,3201
320123,3201
320124,3201
320125,3201
320126,3201
320127,3201
320128,3201
320129,3201
320130,3201
320131,3201
320132,3201
320133,3201
320134,3201
320135,3201
320136,3201
320137,3201
320138,3201
320139,3201
320140,3201
320201,3202
320202,3202
320203,3202
320204,3202
320205,3202
320206,3202
320207,3202
320208,3202
320209,3202
320210,3202
320211,3202
320212,3202
320213,3202
320214,3202
320215,3202
320216,3202
320217,3202
320218,3202
320219,3202
320220,3202
320221,3202
320222,3202
320223,3202
320224,3202
320225,3202
320226,3202
320227,3202
320228,3202
320229,3202
320230,3202
320231,3202
320232,3202
320233,3202
320234,3202
320235,3202
320236,3202
320237,3202
320238,3202
320239,3202
320240,3202
320241,3202
320242,3202
320243,3202
320244,3202
320245,3202
320246,3202
320247,3202
320301,3203
320302,3203
320303,3203
320304,3203
320305,3203
320306,3203
320307,3203
320308,3203
320309,3203
320310,3203
320311,3203
320312,3203
320313,3203
320314,3203
320315,3203
320316,3203
320317,3203
320318,3203
320319,3203
320320,3203
320321,3203
320322,3203
320323,3203
320324,3203
320325,3203
320326,3203
320327,3203
320328,3203
320329,3203
320330,3203
320331,3203
320332,3203
320405,3204
320406,3204
320407,3204
320408,3204
320409,3204
320410,3204
320411,3204
320412,3204
320413,3204
320414,3204
320415,3204
320416,3204
320417,3204
320425,3204
320426,3204
320427,3204
320428,3204
320429,3204
320430,3204
320431,3204
320432,3204
320433,3204
320434,3204
320435,3204
320436,3204
320437,3204
320438,3204
320439,3204
320440,3204
320444,3204
320446,3204
320501,3205
320502,3205
320503,3205
320504,3205
320505,3205
320506,3205
320507,3205
320508,3205
320509,3205
320510,3205
320511,3205
320512,3205
320513,3205
320514,3205
320515,3205
320516,3205
320517,3205
320518,3205
320519,3205
320520,3205
320521,3205
320522,3205
320523,3205
320524,3205
320525,3205
320526,3205
320527,3205
320528,3205
320529,3205
320530,3205
320531,3205
320532,3205
320533,3205
320534,3205
320535,3205
320536,3205
320537,3205
320538,3205
320539,3205
320540,3205
320541,3205
320542,3205
320601,3206
320602,3206
320603,3206
320604,3206
320605,3206
320606,3206
320607,3206
320608,3206
320609,3206
320610,3206
320611,3206
320612,3206
320613,3206
320614,3206
320615,3206
320616,3206
320617,3206
320618,3206
320619,3206
320620,3206
320621,3206
320622,3206
320623,3206
320624,3206
320625,3206
320626,3206
320627,3206
320628,3206
320629,3206
320630,3206
320631,3206
320632,3206
320633,3206
320634,3206
320635,3206
320636,3206
320637,3206
320638,3206
320639,3206
320701,3207
320702,3207
320703,3207
320704,3207
320705,3207
320706,3207
320707,3207
320708,3207
320709,3207
320710,3207
320711,3207
320712,3207
320713,3207
320714,3207
320715,3207
320716,3207
320717,3207
320718,3207
320719,3207
320729,3207
320730,3207
320731,3207
320732,3207
320733,3207
320734,3207
320735,3207
320737,3207
320801,3208
320802,3208
320803,3208
320804,3208
320805,3208
320806,3208
320807,3208
320808,3208
320809,3208
320810,3208
320811,3208
320812,3208
320813,3208
320814,3208
320815,3208
320816,3208
320817,3208
320818,3208
320819,3208
320820,3208
320821,3208
320822,3208
320823,3208
320824,3208
320825,3208
320826,3208
320827,3208
320828,3208
320829,3208
320830,3208
320831,3208
320832,3208
320901,3209
320902,3209
320903,3209
320904,3209
320905,3209
320906,3209
320907,3209
320908,3209
320909,3209
320910,3209
320911,3209
320912,3209
320913,3209
320914,3209
320915,3209
320916,3209
320917,3209
320918,3209
320919,3209
320920,3209
320921,3209
320922,3209
320923,3209
320924,3209
320925,3209
320926,3209
320927,3209
320928,3209
320929,3209
320930,3209
320931,3209
320932,3209
320933,3209
320934,3209
320935,3209
320936,3209
320937,3209
320938,3209
320939,3209
320940,3209
321001,3210
321002,3210
321003,3210
321004,3210
321005,3210
321006,3210
321007,3210
321008,3210
321009,3210
321010,3210
321011,3210
321012,3210
321013,3210
321014,3210
321015,3210
321016,3210
321017,3210
321018,3210
321019,3210
321020,3210
321021,3210
321022,3210
321023,3210
321024,3210
321025,3210
321026,3210
321101,3211
321102,3211
321103,3211
321104,3211
321105,3211
321106,3211
321107,3211
321108,3211
321109,3211
321110,3211
321111,3211
321112,3211
321113,3211
321114,3211
321115,3211
321116,3211
321117,3211
321118,3211
321119,3211
321120,3211
321121,3211
321122,3211
321123,3211
321124,3211
321125,3211
321126,3211
321201,3212
321202,3212
321203,3212
321204,3212
321205,3212
321206,3212
321207,3212
321208,3212
321209,3212
321210,3212
321211,3212
321212,3212
321213,3212
321214,3212
321215,3212
321216,3212
321217,3212
321218,3212
321219,3212
321220,3212
321221,3212
321222,3212
321223,3212
321224,3212
321225,3212
321226,3212
321227,3212
321228,3212
321229,3212
321230,3212
321231,3212
321301,3213
321302,3213
321303,3213
321304,3213
321305,3213
321306,3213
321307,3213
321308,3213
321309,3213
321310,3213
321311,3213
321312,3213
321313,3213
321314,3213
321315,3213
321316,3213
321317,3213
321318,3213
321319,3213
321320,3213
321321,3213
321322,3213
321323,3213
321324,3213
321325,3213
321326,3213
321327,3213
321328,3213
321329,3213
321330,3213
321401,3214
321402,3214
321403,3214
321404,3214
321405,3214
321406,3214
321407,3214
321408,3214
321409,3214
321410,3214
321411,3214
321412,3214
321413,3214
321414,3214
321415,3214
321416,3214
321417,3214
321501,3215
321502,3215
321503,3215
321504,3215
321505,3215
321506,3215
321507,3215
321508,3215
321509,3215
321510,3215
321511,3215
321512,3215
321513,3215
321514,3215
321515,3215
321516,3215
321517,3215
321518,3215
321519,3215
321520,3215
321521,3215
321522,3215
321523,3215
