iddesa,idkec,idkab
3201010001,3201010,3201
3201010002,3201010,3201
3201010003,3201010,3201
3201010004,3201010,3201
3201010005,3201010,3201
3201010006,3201010,3201
3201010007,3201010,3201
3201010008,3201010,3201
3201010009,3201010,3201
3201010010,3201010,3201
3201010011,3201010,3201
3201020001,3201020,3201
3201020002,3201020,3201
3201020003,3201020,3201
3201020004,3201020,3201
3201020005,3201020,3201
3201020006,3201020,3201
3201020007,3201020,3201
3201020016,3201020,3201
3201020017,3201020,3201
3201020018,3201020,3201
3201020019,3201020,3201
3201021001,3201021,3201
3201021002,3201021,3201
3201021003,3201021,3201
3201021004,3201021,3201
3201021005,3201021,3201
3201021006,3201021,3201
3201021007,3201021,3201
3201021008,3201021,3201
3201030001,3201030,3201
3201030002,3201030,3201
3201030003,3201030,3201
3201030004,3201030,3201
3201030005,3201030,3201
3201030006,3201030,3201
3201030007,3201030,3201
3201030008,3201030,3201
3201030009,3201030,3201
3201030010,3201030,3201
3201030011,3201030,3201
3201030012,3201030,3201
3201030013,3201030,3201
3201030014,3201030,3201
3201030015,3201030,3201
3201040001,3201040,3201
3201040002,3201040,3201
3201040003,3201040,3201
3201040004,3201040,3201
3201040005,3201040,3201
3201040006,3201040,3201
3201040007,3201040,3201
3201040008,3201040,3201
3201040009,3201040,3201
3201040010,3201040,3201
3201040011,3201040,3201
3201040012,3201040,3201
3201040013,3201040,3201
3201040014,3201040,3201
3201040015,3201040,3201
3201050004,3201050,3201
3201050008,3201050,3201
3201050009,3201050,3201
3201050010,3201050,3201
3201050011,3201050,3201
3201050012,3201050,3201
3201050013,3201050,3201
3201050014,3201050,3201
3201050015,3201050,3201
3201050016,3201050,3201
3201050017,3201050,3201
3201050018,3201050,3201
3201050019,3201050,3201
3201051001,3201051,3201
3201051002,3201051,3201
3201051003,3201051,3201
3201051004,3201051,3201
3201051005,3201051,3201
3201051006,3201051,3201
3201051007,3201051,3201
3201060001,3201060,3201
3201060002,3201060,3201
3201060003,3201060,3201
3201060004,3201060,3201
3201060005,3201060,3201
3201060006,3201060,3201
3201060007,3201060,3201
3201060008,3201060,3201
3201060009,3201060,3201
3201060010,3201060,3201
3201070009,3201070,3201
3201070010,3201070,3201
3201070011,3201070,3201
3201070012,3201070,3201
3201070013,3201070,3201
3201070014,3201070,3201
3201070015,3201070,3201
3201070016,3201070,3201
3201070017,3201070,3201
3201070018,3201070,3201
3201070019,3201070,3201
3201071001,3201071,3201
3201071002,3201071,3201
3201071003,3201071,3201
3201071004,3201071,3201
3201071005,3201071,3201
3201071006,3201071,3201
3201071007,3201071,3201
3201071008,3201071,3201
3201080010,3201080,3201
3201080011,3201080,3201
3201080012,3201080,3201
3201080013,3201080,3201
3201080014,3201080,3201
3201080015,3201080,3201
3201080016,3201080,3201
3201080017,3201080,3201
3201080018,3201080,3201
3201081001,3201081,3201
3201081002,3201081,3201
3201081003,3201081,3201
3201081004,3201081,3201
3201081005,3201081,3201
3201081006,3201081,3201
3201081007,3201081,3201
3201081008,3201081,3201
3201081009,3201081,3201
3201090001,3201090,3201
3201090002,3201090,3201
3201090003,3201090,3201
3201090004,3201090,3201
3201090005,3201090,3201
3201090006,3201090,3201
3201090007,3201090,3201
3201090008,3201090,3201
3201090009,3201090,3201
3201090010,3201090,3201
3201090011,3201090,3201
3201090012,3201090,3201
3201100001,3201100,3201
3201100002,3201100,3201
3201100003,3201100,3201
3201100004,3201100,3201
3201100005,3201100,3201
3201100006,3201100,3201
3201100007,3201100,3201
3201100008,3201100,3201
3201100009,3201100,3201
3201100010,3201100,3201
3201100011,3201100,3201
3201100012,3201100,3201
3201100013,3201100,3201
3201110001,3201110,3201
3201110002,3201110,3201
3201110003,3201110,3201
3201110004,3201110,3201
3201110005,3201110,3201
3201110006,3201110,3201
3201110007,3201110,3201
3201110008,3201110,3201
3201110009,3201110,3201
3201110010,3201110,3201
3201120001,3201120,3201
3201120002,3201120,3201
3201120003,3201120,3201
3201120004,3201120,3201
3201120005,3201120,3201
3201120006,3201120,3201
3201120007,3201120,3201
3201120008,3201120,3201
3201120009,3201120,3201
3201120010,3201120,3201
3201120011,3201120,3201
3201120012,3201120,3201
3201130001,3201130,3201
3201130002,3201130,3201
3201130003,3201130,3201
3201130004,3201130,3201
3201130005,3201130,3201
3201130006,3201130,3201
3201130007,3201130,3201
3201130008,3201130,3201
3201130009,3201130,3201
3201130010,3201130,3201
3201130011,3201130,3201
3201130012,3201130,3201
3201130013,3201130,3201
3201140001,3201140,3201
3201140002,3201140,3201
3201140003,3201140,3201
3201140004,3201140,3201
3201140005,3201140,3201
3201140006,3201140,3201
3201140007,3201140,3201
3201140008,3201140,3201
3201140009,3201140,3201
3201150001,3201150,3201
3201150002,3201150,3201
3201150003,3201150,3201
3201150004,3201150,3201
3201150005,3201150,3201
3201150006,3201150,3201
3201150007,3201150,3201
3201150008,3201150,3201
3201150009,3201150,3201
3201150010,3201150,3201
3201160011,3201160,3201
3201160012,3201160,3201
3201160013,3201160,3201
3201160014,3201160,3201
3201160015,3201160,3201
3201160016,3201160,3201
3201160017,3201160,3201
3201160018,3201160,3201
3201160019,3201160,3201
3201160020,3201160,3201
3201161001,3201161,3201
3201161002,3201161,3201
3201161003,3201161,3201
3201161004,3201161,3201
3201161005,3201161,3201
