kdkab,nmkab,kdkec,nmkec,kddesa,iddesa,nmdesa,klas,status_desa,stat_pem,latitude,longitude,jml_sls,jml_nonsls,jml_bs
01,BOGOR,010,NANGGUNG,001,3201010001,MALASARI,2,DEFINITIF,DESA,-6.677,106.531,50,11,89
01,BOGOR,010,NANGGUNG,002,3201010002,BANTAR KARET,2,DEFINITIF,DESA,-6.641,106.563,43,8,58
01,BOGOR,010,NANGGUNG,003,3201010003,CISARUA,1,DEFINITIF,DESA,-6.638,106.551,42,5,34
01,BOGOR,010,NANGGUNG,004,3201010004,CURUG BITUNG,2,DEFINITIF,DESA,-6.632,106.538,48,6,27
01,BOGOR,010,NANGGUNG,005,3201010005,NANGGUNG,1,DEFINITIF,DESA,-6.604,106.539,30,4,25
01,BOGOR,010,NANGGUNG,006,3201010006,PANGKAL JAYA,2,DEFINITIF,DESA,-6.607,106.545,32,5,22
01,BOGOR,010,NANGGUNG,007,3201010007,SUKALUYU,1,DEFINITIF,DESA,-6.574,106.568,35,1,14
01,BOGOR,010,NANGGUNG,008,3201010008,HAMBARO,1,DEFINITIF,DESA,-6.576,106.56,28,1,17
01,BOGOR,010,NANGGUNG,009,3201010009,KALONG LIUD,1,DEFINITIF,DESA,-6.576,106.554,46,6,26
01,BOGOR,010,NANGGUNG,010,3201010010,PARAKAN MUNCANG,1,DEFINITIF,DESA,-6.582,106.546,31,4,45
01,BOGOR,010,NANGGUNG,011,3201010011,BATU TULIS,1,DEFINITIF,DESA,-6.572,106.551,32,4,27
01,BOGOR,020,LEUWILIANG,001,3201020001,PURASARI,2,DEFINITIF,DESA,-6.655,106.62,52,2,27
01,BOGOR,020,LEUWILIANG,002,3201020002,PURASEDA,1,DEFINITIF,DESA,-6.655,106.62,31,4,23
01,BOGOR,020,LEUWILIANG,003,3201020003,KARYASARI,1,DEFINITIF,DESA,-6.694,106.685,38,0,19
01,BOGOR,020,LEUWILIANG,004,3201020004,PABANGBON,2,DEFINITIF,DESA,-6.615,106.6,29,3,27
01,BOGOR,020,LEUWILIANG,005,3201020005,KARACAK,1,DEFINITIF,DESA,-6.62,106.641,48,1,40
01,BOGOR,020,LEUWILIANG,006,3201020006,BARENGKOK,1,DEFINITIF,DESA,-6.594,106.635,48,4,32
01,BOGOR,020,LEUWILIANG,007,3201020007,CIBEBER II,1,DEFINITIF,DESA,-6.584,106.616,41,0,24
01,BOGOR,020,LEUWILIANG,016,3201020016,CIBEBER I,1,DEFINITIF,DESA,-6.573,106.623,36,3,31
01,BOGOR,020,LEUWILIANG,017,3201020017,LEUWIMEKAR,1,DEFINITIF,DESA,-6.579,106.634,43,6,43
01,BOGOR,020,LEUWILIANG,018,3201020018,LEUWILIANG,1,DEFINITIF,DESA,-6.571,106.631,45,0,48
01,BOGOR,020,LEUWILIANG,019,3201020019,KAREHKEL,1,DEFINITIF,DESA,-6.554,106.636,42,2,36
01,BOGOR,021,LEUWISADENG,001,3201021001,WANGUN JAYA,1,DEFINITIF,DESA,-6.588,106.58,40,5,22
01,BOGOR,021,LEUWISADENG,002,3201021002,SADENGKOLOT,1,DEFINITIF,DESA,-6.581,106.589,60,9,33
01,BOGOR,021,LEUWISADENG,003,3201021003,LEUWISADENG,1,DEFINITIF,DESA,-6.574,106.604,52,3,30
01,BOGOR,021,LEUWISADENG,004,3201021004,SIBANTENG,1,DEFINITIF,DESA,-6.566,106.602,29,4,23
01,BOGOR,021,LEUWISADENG,005,3201021005,BABAKAN SADENG,1,DEFINITIF,DESA,-6.569,106.583,38,3,21
01,BOGOR,021,LEUWISADENG,006,3201021006,SADENG,1,DEFINITIF,DESA,-6.561,106.59,30,3,24
01,BOGOR,021,LEUWISADENG,007,3201021007,KALONG II,1,DEFINITIF,DESA,-6.564,106.571,25,2,14
01,BOGOR,021,LEUWISADENG,008,3201021008,KALONG I,1,DEFINITIF,DESA,-6.564,106.564,15,3,15
01,BOGOR,030,PAMIJAHAN,001,3201030001,CIBUNIAN,2,DEFINITIF,DESA,-6.69,106.64,40,1,29
01,BOGOR,030,PAMIJAHAN,002,3201030002,PURWABAKTI,1,DEFINITIF,DESA,-6.69,106.645,42,5,21
01,BOGOR,030,PAMIJAHAN,003,3201030003,CIASMARA,1,DEFINITIF,DESA,-6.685,106.649,30,1,24
01,BOGOR,030,PAMIJAHAN,004,3201030004,CIASIHAN,1,DEFINITIF,DESA,-6.677,106.654,52,1,23
01,BOGOR,030,PAMIJAHAN,005,3201030005,GUNUNG SARI,1,DEFINITIF,DESA,-6.671,106.664,44,1,31
01,BOGOR,030,PAMIJAHAN,006,3201030006,GUNUNG BUNDER II,2,DEFINITIF,DESA,-6.659,106.688,42,1,21
01,BOGOR,030,PAMIJAHAN,007,3201030007,GUNUNG BUNDER 1,1,DEFINITIF,DESA,-6.647,106.684,33,0,21
01,BOGOR,030,PAMIJAHAN,008,3201030008,CIBENING,1,DEFINITIF,DESA,-6.633,106.68,39,0,36
01,BOGOR,030,PAMIJAHAN,009,3201030009,GUNUNG PICUNG,1,DEFINITIF,DESA,-6.664,106.666,50,1,54
01,BOGOR,030,PAMIJAHAN,010,3201030010,CIBITUNG KULON,1,DEFINITIF,DESA,-6.661,106.645,21,0,13
01,BOGOR,030,PAMIJAHAN,011,3201030011,CIBITUNG WETAN,1,DEFINITIF,DESA,-6.651,106.64,24,0,14
01,BOGOR,030,PAMIJAHAN,012,3201030012,PAMIJAHAN,1,DEFINITIF,DESA,-6.644,106.652,35,0,30
01,BOGOR,030,PAMIJAHAN,013,3201030013,PASAREAN,1,DEFINITIF,DESA,-6.635,106.658,34,0,43
01,BOGOR,030,PAMIJAHAN,014,3201030014,GUNUNG MENYAN,1,DEFINITIF,DESA,-6.628,106.679,22,0,14
01,BOGOR,030,PAMIJAHAN,015,3201030015,CIMAYANG,1,DEFINITIF,DESA,-6.608,106.666,19,0,15
01,BOGOR,040,CIBUNGBULANG,001,3201040001,SITU UDIK,1,DEFINITIF,DESA,-6.618,106.653,43,0,72
01,BOGOR,040,CIBUNGBULANG,002,3201040002,SITU ILIR,1,DEFINITIF,DESA,-6.603,106.654,22,0,50
01,BOGOR,040,CIBUNGBULANG,003,3201040003,CIBATOK 2,1,DEFINITIF,DESA,-6.591,106.665,31,0,45
01,BOGOR,040,CIBUNGBULANG,004,3201040004,CIARUTEN UDIK,1,DEFINITIF,DESA,-6.606,106.674,23,0,44
01,BOGOR,040,CIBUNGBULANG,005,3201040005,CIBATOK 1,1,DEFINITIF,DESA,-6.575,106.661,30,0,36
01,BOGOR,040,CIBUNGBULANG,006,3201040006,SUKAMAJU,1,DEFINITIF,DESA,-6.582,106.655,26,0,38
01,BOGOR,040,CIBUNGBULANG,007,3201040007,CEMPLANG,1,DEFINITIF,DESA,-6.576,106.653,30,0,38
01,BOGOR,040,CIBUNGBULANG,008,3201040008,GALUGA,1,DEFINITIF,DESA,-6.573,106.644,13,1,19
01,BOGOR,040,CIBUNGBULANG,009,3201040009,DUKUH,1,DEFINITIF,DESA,-6.565,106.653,16,0,28
01,BOGOR,040,CIBUNGBULANG,010,3201040010,CIMANGGU 2,1,DEFINITIF,DESA,-6.571,106.658,35,1,40
01,BOGOR,040,CIBUNGBULANG,011,3201040011,CIMANGGU 1,1,DEFINITIF,DESA,-6.563,106.667,32,0,49
01,BOGOR,040,CIBUNGBULANG,012,3201040012,GIRIMULYA,1,DEFINITIF,DESA,-6.57,106.673,30,2,32
01,BOGOR,040,CIBUNGBULANG,013,3201040013,LEUWEUNG KOLOT,1,DEFINITIF,DESA,-6.562,106.674,25,0,40
01,BOGOR,040,CIBUNGBULANG,014,3201040014,CIARUTEN ILIR,1,DEFINITIF,DESA,-6.538,106.671,35,0,72
01,BOGOR,040,CIBUNGBULANG,015,3201040015,CIJUJUNG,1,DEFINITIF,DESA,-6.555,106.657,25,0,52
01,BOGOR,050,CIAMPEA,004,3201050004,CIAMPEA UDIK,1,DEFINITIF,DESA,-6.615,106.685,27,0,19
01,BOGOR,050,CIAMPEA,008,3201050008,CINANGKA,1,DEFINITIF,DESA,-6.591,106.702,48,0,57
01,BOGOR,050,CIAMPEA,009,3201050009,CIBUNTU,1,DEFINITIF,DESA,-6.596,106.685,26,0,20
01,BOGOR,050,CIAMPEA,010,3201050010,CICADAS,1,DEFINITIF,DESA,-6.584,106.683,32,0,38
01,BOGOR,050,CIAMPEA,011,3201050011,TEGAL WARU,1,DEFINITIF,DESA,-6.569,106.701,39,0,32
01,BOGOR,050,CIAMPEA,012,3201050012,BOJONG JENGKOL,1,DEFINITIF,DESA,-6.568,106.707,35,0,24
01,BOGOR,050,CIAMPEA,013,3201050013,CIHIDEUNG UDIK,1,DEFINITIF,DESA,-6.58,106.716,48,0,42
01,BOGOR,050,CIAMPEA,014,3201050014,CIHIDEUNG ILIR,1,DEFINITIF,DESA,-6.566,106.72,28,0,30
01,BOGOR,050,CIAMPEA,015,3201050015,CIBANTENG,1,DEFINITIF,DESA,-6.556,106.712,49,0,41
01,BOGOR,050,CIAMPEA,016,3201050016,BOJONG RANGKAS,1,DEFINITIF,DESA,-6.559,106.693,42,0,33
01,BOGOR,050,CIAMPEA,017,3201050017,CIBADAK,1,DEFINITIF,DESA,-6.56,106.687,38,0,30
01,BOGOR,050,CIAMPEA,018,3201050018,BENTENG,1,DEFINITIF,DESA,-6.546,106.693,40,0,28
01,BOGOR,050,CIAMPEA,019,3201050019,CIAMPEA,1,DEFINITIF,DESA,-6.544,106.694,44,0,31
